Date,NOROESTE 2 CO ppm,NOROESTE 2 NO ppb,NOROESTE 2 NO2 ppb,NOROESTE 2 NOX ppb,NOROESTE 2 O3 ppb,NOROESTE 2 PM10 ug/m3,NOROESTE 2 PM2.5 ug/m3,NOROESTE 2 PRS mmhg,NOROESTE 2 RAINF mm/hr,NOROESTE 2 RH %,NOROESTE 2 SO2 ppb,NOROESTE 2 SR KW/m2,NOROESTE 2 TOUT degC,NOROESTE 2 WSR KMPH,NOROESTE 2 WDV DEG
2023-08-08 02:00:00,0.3,2.1,6.3,8.3,14.0,42.0,6.14,700.4,0.0,59.0,1.9,0.0,27.45,12.6,115.0
2023-08-08 03:00:00,0.26,2.2,7.5,9.5,12.0,32.0,5.63,700.4,0.0,62.0,1.8,0.0,26.33,8.2,65.0
2023-08-08 04:00:00,0.3,2.1,6.2,8.1,12.0,24.0,5.69,700.7,0.0,65.0,1.9,0.0,25.35,5.9,96.0
2023-08-08 05:00:00,0.32,3.8,8.1,11.8,10.0,34.0,5.72,701.0,0.0,68.0,1.8,0.0,24.61,5.3,110.0
2023-08-08 06:00:00,0.36,4.8,10.7,15.4,7.0,30.0,5.88,701.3,0.0,70.0,1.8,0.0,24.08,5.1,114.0
2023-08-08 07:00:00,0.44,17.3,12.0,29.2,6.0,35.0,7.13,701.6,0.0,70.0,1.9,0.0,23.93,4.1,79.0
2023-08-08 08:00:00,0.36,7.7,8.3,15.9,11.0,49.0,7.36,701.8,0.0,65.0,1.9,0.0,25.3,6.3,111.0
2023-08-08 09:00:00,0.47,24.1,14.0,37.9,12.0,42.0,10.11,701.9,0.0,60.0,2.0,0.0,27.19,5.3,112.0
2023-08-08 10:00:00,0.49,14.5,16.7,31.2,19.0,87.0,9.99,701.9,0.0,52.0,1.9,0.0,29.6,4.7,172.0
2023-08-08 11:00:00,0.35,4.7,9.6,14.6,37.0,85.0,9.59,701.9,0.0,44.0,2.0,0.0,31.57,5.8,132.0
2023-08-08 12:00:00,0.31,3.5,8.7,12.2,51.0,71.0,8.91,701.3,0.0,36.0,2.3,0.0,33.33,7.5,105.0
2023-08-08 13:00:00,0.31,3.5,9.3,12.7,52.0,68.0,9.35,700.8,0.0,34.0,2.3,0.0,34.09,11.7,102.0
2023-08-08 14:00:00,0.27,3.3,9.3,12.5,62.0,79.0,9.361016949152544,700.3,0.0,29.0,2.6,0.0,34.89,15.2,106.0
2023-08-08 15:00:00,0.39,3.5,11.2,14.5,67.0,72.0,9.372033898305084,699.5,0.0,25.0,2.8,0.0,35.68,17.1,110.0
2023-08-08 16:00:00,0.34,2.6,8.1,10.6,78.0,66.0,9.383050847457628,698.9,0.0,24.0,3.1,0.0,36.3,17.7,109.0
2023-08-08 17:00:00,0.33,2.6,7.4,9.9,67.0,68.0,8.258610169491524,698.4,0.0,20.0,3.3,0.0,36.8,15.0,104.0
2023-08-08 18:00:00,0.33,3.3,8.4,11.6,53.0,43.0,7.482610169491525,698.0,0.0,22.0,2.7,0.0,36.61,16.1,86.0
2023-08-08 19:00:00,0.32,2.7,7.7,10.3,42.0,49.0,6.572,697.8,0.0,24.0,2.5,0.0,36.04,15.9,95.0
2023-08-08 20:00:00,0.42,2.6,11.1,13.7,34.0,62.0,6.67,697.8,0.0,25.0,2.3,0.0,35.22,15.1,94.0
2023-08-08 21:00:00,0.43,2.8,12.4,15.1,23.0,67.0,9.734,698.0,0.0,31.0,2.3,0.0,34.05,17.2,95.0
2023-08-08 22:00:00,0.34,3.5,7.2,10.5,17.0,131.0,10.384,698.5,0.0,46.0,2.0,0.0,31.49,20.1,86.0
2023-08-08 23:00:00,0.29,2.8,6.3,9.0,17.0,102.0,8.186,699.2,0.0,53.0,1.9,0.0,29.78,18.2,87.0
