Date,SURESTE CO ppm,SURESTE NO ppb,SURESTE NO2 ppb,SURESTE NOX ppb,SURESTE O3 ppb,SURESTE PM10 ug/m3,SURESTE PM2.5 ug/m3,SURESTE PRS mmhg,SURESTE RAINF mm/hr,SURESTE RH %,SURESTE SO2 ppb,SURESTE SR KW/m2,SURESTE TOUT degC,SURESTE WSR KMPH,SURESTE WDV DEG
2024-10-27 04:00:00,1.22,16.7,15.2,31.9,2.0,43.0,17.74,728.3,0.0,85.0,2.8,0.0,19.89,1.8,237.0
2024-10-27 05:00:00,1.15,13.3,13.2,26.5,2.0,29.0,14.69,728.1,0.0,87.0,2.8,0.0,19.45,2.0,283.0
2024-10-27 06:00:00,1.16,17.0,15.1,32.0,2.6666666666666665,25.0,13.07,728.3,0.0,87.0,2.7,0.0,19.75,2.1,282.0
2024-10-27 07:00:00,1.18,20.5,12.7,33.1,3.3333333333333335,37.0,14.15,728.7,0.0,88.0,2.9,0.002,19.11,1.9,287.0
2024-10-27 08:00:00,1.21,22.6,16.6,39.1,4.0,30.0,13.05,728.9,0.0,83.0,2.8,0.071,21.07,5.3,278.0
2024-10-27 09:00:00,1.09,16.8,17.8,34.7,10.0,41.0,15.44,729.3,0.0,71.0,3.0,0.2,23.15,6.5,269.0
2024-10-27 10:00:00,1.24,23.3,24.9,48.0,14.0,57.0,18.86,729.6,0.0,63.0,4.0,0.316,25.4,4.5,236.0
2024-10-27 11:00:00,1.02,7.9,14.9,22.8,31.0,61.0,22.08,729.4,0.0,59.0,4.3,0.407,26.1,7.8,55.0
2024-10-27 12:00:00,1.05,5.9,13.3,19.1,42.0,33.0,12.42,728.7,0.0,53.0,3.9,0.438,26.99,13.3,86.0
2024-10-27 13:00:00,0.99,4.5,9.1,13.6,43.0,50.0,14.59,727.8,0.0,50.0,3.6,0.46,27.74,15.7,98.0
2024-10-27 14:00:00,0.94,4.0,7.8,11.8,45.0,41.0,18.94,726.8,0.0,47.0,3.5,0.456,28.43,14.6,107.0
2024-10-27 15:00:00,0.89,3.3,6.2,9.5,48.0,36.0,18.17,726.1,0.0,46.0,4.0,0.387,28.75,13.0,114.0
2024-10-27 16:00:00,0.84,3.2,5.5,8.7,39.0,32.0,16.38,725.9,0.0,45.0,4.8,0.242,28.84,12.2,142.0
2024-10-27 17:00:00,0.88,3.7,6.3,10.0,31.0,16.0,8.35,725.5,0.0,44.0,3.5,0.073,28.66,10.6,143.0
2024-10-27 18:00:00,0.87,3.4,8.9,12.2,30.0,21.0,8.33,725.6,0.0,45.0,3.1,0.034,27.29,9.5,153.0
2024-10-27 19:00:00,0.88,2.8,9.8,12.6,29.0,27.0,8.87,725.9,0.0,48.0,4.8,0.001,25.74,7.4,157.0
2024-10-27 20:00:00,0.85,2.7,8.0,10.6,32.0,29.0,10.11,726.2,0.0,46.0,4.2,0.0,25.64,7.6,128.0
2024-10-27 21:00:00,0.8,2.5,6.0,8.5,35.0,14.0,7.61,726.5,0.0,46.0,3.3,0.0,25.49,9.5,138.0
2024-10-27 22:00:00,0.78,2.4,5.9,8.3,36.0,17.0,6.28,726.6,0.0,47.0,2.9,0.0,25.17,8.0,148.0
2024-10-27 23:00:00,0.76,2.3,4.9,7.2,36.0,11.0,5.61,726.6,0.0,48.0,2.7,0.0,24.91,7.3,151.0
2024-10-28 00:00:00,0.73,2.2,3.6,5.9,38.0,12.0,5.41,726.2,0.0,47.0,2.5,0.0,24.81,8.0,130.0
2024-10-28 01:00:00,0.9,2.3,11.5,13.8,19.0,13.0,10.74,726.0,0.0,64.0,3.5,0.0,21.62,12.4,64.0
2024-10-28 02:00:00,0.82,2.3,6.2,8.5,23.0,25.0,7.66,725.9,0.0,68.0,3.8,0.0,20.69,7.5,88.0
2024-10-28 03:00:00,0.83,3.25,7.9,10.2,19.0,14.0,8.68,725.6,0.0,74.0,2.9,0.0,19.49,3.8,45.0
2024-10-28 04:00:00,0.95,4.2,13.5,17.6,8.0,15.0,9.74,725.5,0.0,81.0,2.7,0.0,18.4,2.1,275.0
2024-10-28 05:00:00,0.9,5.5,15.1,20.6,5.0,17.0,10.4,725.5,0.0,84.0,2.7,0.0,17.97,2.1,284.0
2024-10-28 06:00:00,1.04,18.3,17.7,35.9,3.0,18.0,12.41,725.4,0.0,85.0,2.7,0.0,17.97,1.8,298.0
2024-10-28 07:00:00,1.62,59.0,19.9,78.6,2.0,33.0,17.64,725.7,0.0,85.0,3.1,0.002,17.94,1.8,230.0
2024-10-28 08:00:00,1.71,72.0,19.8,91.6,3.0,59.0,16.85,726.0,0.0,82.0,3.2,0.074,19.32,1.8,288.0
2024-10-28 09:00:00,1.39,41.3,28.1,69.2,7.0,58.0,20.37,726.2,0.0,72.0,3.3,0.194,21.68,4.2,275.0
2024-10-28 10:00:00,1.5,38.1,35.4,73.3,12.0,66.0,30.19,726.3,0.0,65.0,4.9,0.309,23.78,2.3,252.0
2024-10-28 11:00:00,1.35,18.4,32.2,50.6,25.0,87.0,31.76,726.2,0.0,65.0,4.6,0.37,24.38,7.0,44.0
2024-10-28 12:00:00,1.09,7.0,15.1,22.1,39.0,96.0,20.93,725.7,0.0,54.0,4.2,0.46,25.91,14.1,88.0
2024-10-28 13:00:00,0.96,4.5,9.4,13.8,46.0,67.0,14.01,724.8,0.0,49.0,4.0,0.47,26.7,15.3,107.0
2024-10-28 14:00:00,0.92,3.7,7.6,11.3,49.0,45.0,12.88,723.9,0.0,47.0,3.8,0.441,27.2,17.3,110.0
2024-10-28 15:00:00,0.87,3.5,5.6,9.1,41.0,35.0,12.16,723.3,0.0,45.0,3.5,0.373,27.88,16.6,108.0
2024-10-28 16:00:00,0.85,3.8,5.5,9.3,34.0,31.0,10.22,723.0,0.0,44.0,3.1,0.239,28.34,14.7,117.0
2024-10-28 17:00:00,0.85,3.5,6.0,9.5,35.0,23.0,7.28,722.6,0.0,46.0,3.0,0.068,28.1,14.4,124.0
2024-10-28 18:00:00,0.85,3.2,6.8,10.0,31.0,20.0,7.11,722.5,0.0,49.0,2.8,0.032,27.23,14.1,125.0
2024-10-28 19:00:00,0.9,3.1,8.0,11.1,28.0,22.0,6.67,722.8,0.0,52.0,2.7,0.001,26.32,10.9,128.0
2024-10-28 20:00:00,0.9,3.0,7.8,10.8,27.0,17.0,6.6,723.1,0.0,56.0,2.6,0.0,26.02,10.3,117.0
2024-10-28 21:00:00,0.99,4.0,12.9,16.9,20.0,13.0,8.71,723.4,0.0,60.0,2.6,0.0,25.17,10.8,79.0
2024-10-28 22:00:00,1.01,3.9,13.7,17.6,17.0,25.0,9.96,723.4,0.0,63.0,2.7,0.0,24.23,8.8,83.0
2024-10-28 23:00:00,1.02,3.5,14.0,17.4,15.0,32.0,16.54,723.1,0.0,66.0,2.6,0.0,23.4,12.0,78.0
2024-10-29 00:00:00,0.87,2.5,8.9,11.3,19.0,34.0,16.54,722.9,0.0,68.0,2.5,0.0,22.46,10.8,89.0
2024-10-29 01:00:00,0.88,2.4,9.9,12.3,16.0,25.0,9.35,722.5,0.0,72.0,2.5,0.0,21.51,9.6,56.0
2024-10-29 02:00:00,0.86,2.3,7.5,9.8,16.0,22.0,10.77,722.5,0.0,77.0,2.5,0.0,20.65,7.9,74.0
2024-10-29 03:00:00,0.83,2.3,5.4,7.7,16.0,20.0,11.8,722.3,0.0,83.0,2.5,0.0,19.86,6.3,102.0
2024-10-29 04:00:00,0.79,2.3,3.9,6.2,17.0,14.0,11.1,722.1,0.0,87.0,2.5,0.0,19.35,6.0,110.0
2024-10-29 05:00:00,0.78,2.4,4.2,6.6,17.0,9.0,11.006666666666666,721.7,0.0,88.0,2.3,0.0,18.97,6.1,137.0
2024-10-29 06:00:00,0.8,3.7,7.7,11.3,14.0,6.0,10.913333333333334,721.7,0.0,88.0,2.3,0.0,19.03,7.5,154.0
2024-10-29 07:00:00,0.83,3.6,11.7,15.3,11.0,15.0,10.82,722.0,0.0,85.0,2.4,0.001,19.38,4.5,131.0
2024-10-29 08:00:00,0.94,12.3,18.4,30.7,5.0,28.0,15.69,722.3,0.0,83.0,2.7,0.024,19.68,3.0,96.0
2024-10-29 09:00:00,1.26,12.5,16.9,29.4,8.0,44.0,26.18,722.8,0.0,80.0,3.2,0.091,20.64,5.0,61.0
2024-10-29 10:00:00,1.09,13.1,15.4,28.4,16.0,84.0,23.5,723.1,0.0,72.0,3.2,0.294,22.59,5.5,106.0
2024-10-29 11:00:00,1.05,9.5,15.2,24.7,23.0,63.0,20.05,723.0,0.0,67.0,3.2,0.298,23.09,8.2,90.0
2024-10-29 12:00:00,0.96,5.5,9.2,14.7,32.0,74.0,20.12,722.6,0.0,66.0,3.0,0.438,23.91,10.5,73.0
2024-10-29 13:00:00,0.92,3.9,6.4,10.3,36.0,62.0,21.46,721.9,0.0,63.0,2.9,0.47,25.05,11.9,79.0
2024-10-29 14:00:00,0.91,4.2,6.0,10.2,33.0,51.0,19.04,720.8,0.0,57.0,2.8,0.432,26.45,15.5,109.0
2024-10-29 15:00:00,0.9,4.2,5.9,10.1,33.0,40.0,16.61,720.3,0.0,51.0,2.7,0.366,27.64,18.5,108.0
2024-10-29 16:00:00,0.89,3.7,5.2,9.0,34.0,53.0,16.83,720.0,0.0,49.0,2.7,0.242,28.14,17.6,111.0
2024-10-29 17:00:00,0.86,3.3,5.5,8.9,35.0,37.0,14.17,719.9,0.0,50.0,2.6,0.064,28.15,15.5,133.0
2024-10-29 18:00:00,0.86,3.0,5.2,8.2,33.0,31.0,12.4,719.9,0.0,53.0,2.7,0.031,27.45,16.8,130.0
2024-10-29 19:00:00,0.84,3.0,4.7,7.7,31.0,38.0,11.77,720.1,0.0,54.0,2.7,0.001,27.22,19.9,142.0
2024-10-29 20:00:00,0.84,2.8,4.4,7.3,31.0,39.0,11.92,720.4,0.0,58.0,2.6,0.0,26.89,18.8,142.0
2024-10-29 21:00:00,0.82,3.0,4.1,7.1,27.0,36.0,10.82,720.9,0.0,60.0,2.6,0.0,26.11,18.2,131.0
2024-10-29 22:00:00,0.83,3.0,5.1,8.1,25.0,29.0,9.01,721.3,0.0,65.0,2.5,0.0,25.17,14.3,116.0
2024-10-29 23:00:00,0.84,2.7,5.2,7.8,22.0,21.0,9.01,721.6,0.0,73.0,2.6,0.0,23.69,15.6,109.0
2024-10-30 00:00:00,0.81,2.3,3.3,5.6,22.0,23.0,8.54,721.5,0.0,78.0,2.5,0.0,22.85,13.4,100.0
2024-10-30 01:00:00,0.82,2.3,3.7,6.0,19.0,16.0,8.85,721.5,0.0,81.0,2.4,0.0,22.19,11.1,95.0
2024-10-30 02:00:00,0.79,2.2,2.9,5.1,19.0,16.0,9.77,721.1,0.0,85.0,2.5,0.0,21.62,11.0,91.0
2024-10-30 03:00:00,0.78,2.3,2.4,4.6,18.0,14.0,10.83,721.0,0.0,86.0,2.5,0.0,21.28,7.9,113.0
2024-10-30 04:00:00,0.77,2.3,2.1,4.4,19.0,15.0,10.08,720.9,0.0,86.0,2.4,0.0,21.35,7.0,96.0
2024-10-30 05:00:00,0.78,2.4,3.0,5.3,18.0,11.0,11.0,720.8,0.0,86.0,2.4,0.0,21.11,6.8,100.0
2024-10-30 06:00:00,0.81,2.5,5.1,7.7,16.0,17.0,11.99,721.0,0.0,87.0,2.4,0.0,21.01,7.1,88.0
2024-10-30 07:00:00,0.89,3.6,10.7,14.3,11.0,15.0,13.14,721.2,0.0,87.0,2.5,0.001,21.0,5.7,91.0
2024-10-30 08:00:00,1.0,6.2,16.4,22.6,7.0,27.0,14.87,721.7,0.0,86.0,2.3,0.017,21.09,6.0,67.0
2024-10-30 09:00:00,1.1,14.2,18.1,32.3,6.0,40.0,14.58,722.3,0.0,84.0,2.6,0.055,21.52,4.2,21.0
2024-10-30 10:00:00,1.21,22.5,19.5,41.9,7.0,47.0,18.33,722.8,0.0,79.0,2.7,0.137,22.79,5.4,317.0
2024-10-30 11:00:00,1.15,19.8,19.6,39.4,14.0,66.0,25.86,723.0,0.0,69.0,3.1,0.385,25.17,6.1,328.0
