Date,CENTRO CO ppm,CENTRO NO ppb,CENTRO NO2 ppb,CENTRO NOX ppb,CENTRO O3 ppb,CENTRO PM10 ug/m3,CENTRO PM2.5 ug/m3,CENTRO PRS mmhg,CENTRO RAINF mm/hr,CENTRO RH %,CENTRO SO2 ppb,CENTRO SR KW/m2,CENTRO TOUT degC,CENTRO WSR KMPH,CENTRO WDV DEG
2024-11-01 14:00:00,1.56,6.0,10.7,16.5,35.0,49.0,29.54,700.7,0.0,60.0,5.6,0.378,26.6,14.9,101.0
2024-11-01 15:00:00,1.51,4.2,8.3,12.3,34.0,51.0,27.79,700.2,0.0,60.0,5.0,0.228,26.47,13.3,99.0
2024-11-01 16:00:00,1.47,4.3,8.2,12.3,32.0,48.0,25.25,700.0,0.0,59.0,4.3,0.261,26.69,14.9,92.0
2024-11-01 17:00:00,1.53,4.2,9.4,13.5,30.0,54.0,26.18,699.9,0.0,60.0,3.8,0.116,26.35,14.7,81.0
2024-11-01 18:00:00,1.55,3.8,12.5,16.1,26.0,52.0,27.97,700.0,0.0,61.0,3.6,0.02,25.84,13.5,92.0
2024-11-01 19:00:00,1.63,4.3,12.2,16.3,25.0,53.0,28.82,700.2,0.0,65.0,3.4,0.0,25.36,13.5,90.0
2024-11-01 20:00:00,1.61,4.0,14.2,17.9,20.0,52.0,28.54,700.7,0.0,66.0,3.4,0.0,25.04,12.4,105.0
2024-11-01 21:00:00,1.64,4.0,15.05,18.799999999999997,16.5,46.5,29.045,700.9000000000001,0.0,68.0,3.5500000000000003,0.0,24.67,11.5,109.0
2024-11-01 22:00:00,1.67,4.0,15.9,19.7,13.0,41.0,29.55,701.1,0.0,70.0,3.7,0.0,24.3,10.6,113.0
2024-11-01 23:00:00,1.48,3.2,10.1,13.0,15.0,40.0,27.0,701.0,0.0,72.0,3.8,0.0,23.93,13.1,100.0
2024-11-02 00:00:00,1.46,3.5,9.8,13.0,12.0,34.0,20.94,700.9,0.0,75.0,4.0,0.0,23.5,11.3,102.0
2024-11-02 01:00:00,1.47,2.9,9.4,12.1,10.0,34.0,16.55,700.6,0.0,77.0,3.8,0.0,23.14,9.8,118.0
2024-11-02 02:00:00,1.42,4.1,7.9,11.7,12.0,30.0,15.23,700.4,0.0,77.0,4.4,0.0,22.86,10.8,121.0
2024-11-02 03:00:00,1.4,3.0,8.2,10.9,11.0,31.0,14.55,700.0,0.0,79.0,4.0,0.0,22.27,9.5,130.0
2024-11-02 04:00:00,1.4,2.7,9.3,11.7,11.0,22.0,14.02,700.1,0.0,79.0,3.7,0.0,22.12,5.7,193.0
2024-11-02 05:00:00,1.41,2.4,7.6,9.7,11.0,19.0,16.24,700.2,0.0,78.0,3.7,0.0,22.44,4.1,278.0
2024-11-02 06:00:00,1.43,2.7,9.6,12.1,9.0,37.0,18.2,700.5,0.0,79.0,3.5,0.0,22.25,5.4,260.0
2024-11-02 07:00:00,1.51,5.3,10.7,15.8,7.0,33.0,15.71,700.9,0.0,78.0,3.6,0.0,21.95,4.6,121.0
2024-11-02 08:00:00,1.49,4.2,7.8,11.7,11.0,27.0,19.22,701.0,0.0,74.0,3.6,0.05,21.97,6.1,96.0
2024-11-02 09:00:00,1.53,8.4,8.9,17.2,12.0,28.0,17.83,701.4,0.0,73.0,3.5,0.2,23.32,7.1,101.0
2024-11-02 10:00:00,1.54,9.0,10.7,19.5,17.0,32.0,22.13,701.5,0.0,66.0,4.4,0.348,25.22,5.2,126.0
2024-11-02 11:00:00,1.74,15.3,15.2,30.3,16.0,36.0,31.22,701.3,0.0,66.0,6.5,0.507,25.7,8.7,121.0
2024-11-02 12:00:00,1.79,14.3,17.6,31.7,22.0,52.0,32.3,700.9,0.0,64.0,7.3,0.559,25.99,11.5,126.0
2024-11-02 13:00:00,1.7,8.4,15.3,23.5,34.0,63.0,30.24,700.3,0.0,62.0,7.1,0.554,26.1,12.3,120.0
2024-11-02 14:00:00,1.62,6.0,12.3,18.2,42.0,58.0,25.67,699.6,0.0,59.0,5.8,0.542,26.9,12.7,123.0
2024-11-02 15:00:00,1.46,4.7,6.7,11.1,39.0,46.0,19.09,698.9,0.0,56.0,5.0,0.344,27.21,13.5,104.0
2024-11-02 16:00:00,1.43,4.2,5.8,9.7,32.0,39.0,17.71,698.6,0.0,54.0,4.5,0.282,27.51,16.0,99.0
2024-11-02 17:00:00,1.44,3.8,6.9,10.5,28.0,38.0,16.55,698.4,0.0,57.0,4.0,0.123,26.98,14.2,95.0
2024-11-02 18:00:00,1.48,3.4,9.2,12.4,21.0,36.0,15.82,698.2,0.0,60.0,3.7,0.017,26.12,12.0,105.0
2024-11-02 19:00:00,1.54,3.2,10.4,13.4,17.0,34.0,15.51,698.4,0.0,64.0,3.8,0.0,25.5,9.6,98.0
2024-11-02 20:00:00,1.56,3.7,10.1,13.5,16.0,33.0,14.09,698.6,0.0,66.0,4.6,0.0,25.08,9.3,107.0
2024-11-02 21:00:00,1.6,3.4,8.5,11.7,17.0,29.0,17.6,698.7,0.0,67.0,7.5,0.0,24.7,8.2,115.0
2024-11-02 22:00:00,1.58,4.5,8.2,12.5,16.0,34.0,18.34,698.7,0.0,70.0,7.0,0.0,24.29,8.9,110.0
2024-11-02 23:00:00,1.75,5.0,11.3,16.2,11.0,33.0,19.34,698.5,0.0,72.0,6.0,0.0,23.78,5.9,138.0
2024-11-03 00:00:00,1.59,3.1,8.2,11.1,13.0,31.0,15.88,698.1,0.0,75.0,4.4,0.0,23.19,8.0,143.0
2024-11-03 01:00:00,1.53,3.8,9.7,13.2,11.0,29.0,25.07,697.8,0.0,79.0,4.4,0.0,22.8,8.7,122.0
2024-11-03 02:00:00,1.48,3.0,10.9,13.7,9.0,32.0,16.72,697.8,0.0,80.0,4.7,0.0,22.65,4.8,169.0
2024-11-03 03:00:00,1.47,2.7,11.9,14.4,7.0,28.0,18.37,697.6,0.0,80.0,4.0,0.0,22.57,3.4,140.0
2024-11-03 04:00:00,1.47,3.0,10.7,13.5,6.0,35.0,20.63,697.2,0.0,81.0,3.8,0.0,21.99,5.1,113.0
2024-11-03 05:00:00,1.41,2.6,5.6,7.9,11.0,31.0,18.82,697.0,0.0,79.0,3.7,0.0,21.2,3.2,92.0
2024-11-03 06:00:00,1.54,4.4,7.6,11.7,7.0,24.0,19.07,697.0,0.0,78.0,3.4,0.0,21.23,2.5,117.0
2024-11-03 07:00:00,1.55,5.6,8.1,13.5,6.0,24.0,22.05,697.2,0.0,80.0,3.3,0.0,20.79,2.3,359.0
2024-11-03 08:00:00,1.83,7.75,12.9,29.5,2.0,54.0,26.61,697.4,0.0,79.0,3.4,0.047,21.13,2.6,307.0
2024-11-03 09:00:00,1.69,9.9,12.5,22.2,11.0,53.0,24.59,697.6,0.0,70.0,3.4,0.2,23.63,3.7,32.0
2024-11-03 10:00:00,1.5,7.6,8.0,15.2,17.0,45.0,23.62,697.6,0.0,65.0,4.0,0.36,24.88,5.5,108.0
2024-11-03 11:00:00,1.67,9.0,12.5,21.4,23.0,37.0,30.44,697.2,0.0,64.0,8.2,0.48,25.83,6.9,102.0
2024-11-03 12:00:00,1.69,8.5,14.8,23.1,31.0,48.0,35.38,696.6,0.0,61.0,8.4,0.548,26.71,8.2,105.0
2024-11-03 13:00:00,1.75,6.7,17.0,23.5,48.0,57.0,36.35,695.7,0.0,60.0,8.9,0.557,27.4,10.9,113.0
2024-11-03 14:00:00,1.7,4.5,14.5,18.9,69.0,61.0,37.14,694.8,0.0,59.0,7.3,0.525,27.98,11.5,114.0
2024-11-03 15:00:00,1.64,4.0,13.6,17.4,68.0,63.0,32.45,694.2,0.0,59.0,7.0,0.444,28.21,12.0,106.0
