Date,NORESTE CO ppm,NORESTE NO ppb,NORESTE NO2 ppb,NORESTE NOX ppb,NORESTE O3 ppb,NORESTE PM10 ug/m3,NORESTE PM2.5 ug/m3,NORESTE PRS mmhg,NORESTE RAINF mm/hr,NORESTE RH %,NORESTE SO2 ppb,NORESTE SR KW/m2,NORESTE TOUT degC,NORESTE WSR KMPH,NORESTE WDV DEG
2024-11-06 00:00:00,1.33,1.8,4.3,6.2,49.0,55.0,17.86,710.0,0.0,38.0,3.7,0.0,20.57,9.1,130.0
2024-11-06 01:00:00,1.31,1.8,3.9,5.9,47.0,53.0,16.44,709.7,0.0,37.0,3.7,0.0,20.44,8.0,116.0
2024-11-06 02:00:00,1.33,1.8,4.7,6.6,43.0,47.0,15.46,709.6,0.0,39.0,3.6,0.0,19.69,3.3,41.0
2024-11-06 03:00:00,1.33,1.8,4.4,6.4,39.0,47.0,14.32,709.2,0.0,43.0,3.5,0.0,18.8,2.4,344.0
2024-11-06 04:00:00,1.54,10.6,34.1,45.0,10.0,40.0,13.71,709.1,0.0,45.0,3.8,0.0,18.53,4.6,328.0
2024-11-06 05:00:00,1.53,12.4,37.5,50.0,5.0,64.0,14.0,709.0,0.0,49.0,3.8,0.0,17.56,2.9,335.0
2024-11-06 06:00:00,1.54,6.6,32.2,38.9,8.0,69.0,12.83,709.1,0.0,52.0,4.1,0.0,17.04,2.0,220.0
2024-11-06 07:00:00,1.66,14.3,34.3,48.9,6.0,64.0,12.36,709.3,0.0,56.0,5.3,0.0,16.46,2.0,234.0
2024-11-06 08:00:00,1.89,30.4,34.4,65.0,6.0,71.0,11.92,709.6,0.0,55.0,6.7,0.025,17.43,4.3,219.0
2024-11-06 09:00:00,1.89,26.3,34.0,60.5,14.0,86.0,18.2,710.0,0.0,45.0,7.8,0.089,20.57,4.2,259.0
2024-11-06 10:00:00,2.01,30.7,41.9,72.8,19.0,79.0,27.1,710.2,0.0,36.0,7.1,0.39,22.53,4.7,8.0
2024-11-06 11:00:00,2.11,30.7,49.0,79.9,23.0,82.0,26.27,710.1,0.0,35.0,10.7,0.537,23.19,6.2,50.0
2024-11-06 12:00:00,1.83,18.2,42.5,60.9,37.0,102.0,26.84,709.6,0.0,34.0,15.4,0.633,23.89,7.1,37.0
2024-11-06 13:00:00,1.66,8.8,28.4,37.4,52.0,84.0,29.21,709.0,0.0,33.0,14.5,0.672,24.81,7.6,29.0
2024-11-06 14:00:00,1.63,5.5,25.9,31.6,70.0,75.0,30.48,708.5,0.0,34.0,13.1,0.638,25.28,8.5,38.0
2024-11-06 15:00:00,1.67,4.2,24.3,28.8,83.0,74.0,31.62,708.1,0.0,35.0,10.1,0.543,25.95,7.9,55.0
2024-11-06 16:00:00,1.65,3.1,17.2,20.5,80.0,72.0,35.51,708.0,0.0,36.0,6.6,0.398,26.33,9.1,44.0
2024-11-06 17:00:00,1.63,2.9,15.1,18.2,69.0,63.0,37.05,708.2,0.0,38.0,5.6,0.172,26.44,7.8,68.0
2024-11-06 18:00:00,1.61,2.2,14.0,16.4,57.0,58.0,26.09,708.4,0.0,42.0,4.7,0.026,25.13,8.5,103.0
2024-11-06 19:00:00,1.77,2.6,26.5,29.3,34.0,52.0,23.51,708.7,0.0,43.0,4.9,0.0,24.08,8.2,63.0
